station,lat,lon,CNTY_NM,zone
CRP,27.7731,-97.5128,Nueces,SOUTH
BEA,28.3619,-97.791,Bee,SOUTH
BKS,27.2067,-98.1211,Brooks,SOUTH
RBO,27.7785,-97.6905,Nueces,SOUTH
PEZ,28.9542,-98.52,Atascosa,SOUTH
FTN,28.2086,-100.0188,Dimmit,SOUTH
CZT,28.5222,-99.8236,Dimmit,SOUTH
5T9,28.8571,-100.5135,Maverick,SOUTH
IKG,27.5509,-98.0309,Kleberg,SOUTH
TXW,26.1775,-97.9731,Hidalgo,SOUTH
T69,28.0386,-97.5425,San Patricio,SOUTH
8T6,28.3628,-98.1165,Live Oak,SOUTH
TFP,27.913,-97.2115,San Patricio,SOUTH
T65,26.1776,-97.9731,Hidalgo,SOUTH
PIL,26.1597,-97.3378,Cameron,SOUTH
HRL,26.2285,-97.6544,Cameron,SOUTH
ALI,27.7409,-98.0269,Jim Wells,SOUTH
COT,28.4567,-99.2183,La Salle,SOUTH
MFE,26.1758,-98.2386,Hidalgo,SOUTH
RKP,28.0836,-97.0464,Aransas,SOUTH
LRD,27.5438,-99.4615,Webb,SOUTH
NOG,27.9011,-98.0517,Jim Wells,SOUTH
NGP,27.6926,-97.2911,Nueces,SOUTH
NQI,27.5072,-97.8097,Kleberg,SOUTH
APY,26.9688,-99.2489,Zapata,SOUTH
EBG,26.4417,-98.1222,Hidalgo,SOUTH
HBV,27.3496,-98.7369,Jim Hogg,SOUTH
JCT,30.5108,-99.7664,Kimble,WEST
SJT,31.3517,-100.495,Tom Green,WEST
AQO,30.7836,-98.6619,Llano,WEST
ERV,29.9767,-99.0855,Kerr,WEST
SWW,32.4674,-100.4666,Nolan,WEST
SNK,32.6934,-100.9505,Scurry,WEST
COM,31.8411,-99.4036,Coleman,WEST
BBD,31.1793,-99.3239,McCulloch,WEST
ECU,29.9469,-100.1739,Edwards,WEST
DZB,30.5271,-98.3588,Llano,WEST
SOA,30.5857,-100.6486,Sutton,WEST
T82,30.2432,-98.9092,Gillespie,WEST
UVA,29.2113,-99.7436,Uvalde,WEST
81R,31.2352,-98.717,San Saba,WEST
ABI,32.4106,-99.6821,Taylor,WEST
DRT,29.3742,-100.9272,Val Verde,WEST
DLF,29.3595,-100.778,Val Verde,WEST
DYS,32.421,-99.855,Taylor,WEST
T70,29.126,-100.481,Kinney,WEST
LZZ,30.0506,-99.7442,Real,WEST
