\outl0\strokewidth0 \strokec2 stid,station_name,lat,lon,elev,begints,endts,iem_network\
DFW,DALLAS/FT WORTH,32.8968,-97.038,182,5/1/53 0:00,,TX_ASOS\
DHT,DALHART MUNICIPAL,36.0226,-102.5473,1216,11/1/42 0:00,,TX_ASOS\
DKR,Crocket,31.307,-95.4038,106.1,5/24/05 0:00,,TX_ASOS\
DLF,LAUGHLIN AFB,29.3595,-100.778,330,2/17/43 0:00,,TX_ASOS\
DRT,DEL RIO INTL (AUT),29.3742,-100.9272,307,8/9/46 0:00,,TX_ASOS\
DTO,Denton,33.205,-97.2006,200.71758,7/1/96 0:00,,TX_ASOS\
DUX,DUMAS,35.858,-102.013,1129,6/8/04 0:00,,TX_ASOS\
DWH,HOUSTON/D.W. HOOKS,30.068,-95.5562,46,9/16/86 0:00,,TX_ASOS\
DYS,DYESS AFB/ABILENE,32.421,-99.855,545,12/1/43 0:00,,TX_ASOS\
DZB,Horseshoe,30.5271,-98.3588,333,6/5/09 0:00,,TX_ASOS\
E01,Monahans,31.5825,-102.909,794,5/22/24 0:00,,TX_ASOS\
E11,Andews,32.3311,-102.5295,963.14166,4/18/12 0:00,,TX_ASOS\
E35,Fabens,31.5172,-106.1471,1114,1/22/26 0:00,,TX_ASOS\
E38,ALPINE,30.384,-103.684,1376,6/6/03 0:00,,TX_ASOS\
E41,Big Lake Reagan,31.1989,-101.4725,818.1197,5/12/20 0:00,,TX_ASOS\
E42,Spearman,36.221,-101.1945,945.8859,2/8/21 0:00,,TX_ASOS\
E57,Denver City,32.9746,-102.84,1088,8/2/23 0:00,,TX_ASOS\
EBG,EDINBURG,26.4417,-98.1222,24,10/30/03 0:00,,TX_ASOS\
ECU,ROCKSPRINGS,29.9469,-100.1738,723,11/11/04 0:00,,TX_ASOS\
EDC,Austin,30.3926,-97.5621,187.5,7/22/09 0:00,,TX_ASOS\
EFD,HOUSTON/ELLINGTON,29.6073,-95.1588,10,7/1/41 0:00,,TX_ASOS\
ELA,Eagle Lake,29.6006,-96.3219,56.802055,10/15/14 0:00,,TX_ASOS\
ELP,EL PASO INTL ARPT,31.8111,-106.3758,1194,1/1/30 0:00,,TX_ASOS\
EMK,East Breaks (GoM),27.8186,-94.3228,0,1/13/10 0:00,4/16/22 0:00,TX_ASOS\
ERV,KERRVILLE MUNICIPAL,29.9767,-99.0855,493,1/1/73 0:00,,TX_ASOS\
ETN,Eastland,32.4135,-98.8098,444.62585,4/27/17 0:00,,TX_ASOS\
F00,Bonham,33.6131,-96.1793,189.55844,11/15/16 0:00,,TX_ASOS\
F05,VERNON,34.2257,-99.2838,386,6/6/03 0:00,,TX_ASOS\
F12,HENDERSON RUSK C,32.1417,-94.8517,135,2/15/08 0:00,9/8/11 0:00,TX_ASOS\
F17,Center,31.8316,-94.1564,95.238235,9/1/10 0:00,,TX_ASOS\
F44,Athens,32.1638,-95.8284,135.39607,8/14/12 0:00,,TX_ASOS\
F46,Rockwall,32.9306,-96.4355,178.25653,8/27/12 0:00,,TX_ASOS\
FST,FORT STOCKTON,30.9119,-102.9167,917,7/1/96 0:00,,TX_ASOS\
FTN,Carrizo Springs,28.2086,-100.0188,236,6/18/10 0:00,,TX_ASOS\
FTW,FORT WORTH/MEACHAM,32.8198,-97.3624,216,1/1/34 0:00,,TX_ASOS\
FWS,Fort Worth - Spinks,32.5651,-97.3084,209,12/16/01 0:00,,TX_ASOS\
GDJ,GRANBURY,32.4444,-97.8169,237,10/30/03 0:00,,TX_ASOS\
GDP,GUADALUPE PASS AMOS,31.8331,-104.8098,1662,7/1/48 0:00,12/10/23 0:00,TX_ASOS\
GGG,LONGVIEW/GREGG CO.,32.384,-94.7115,124,5/4/47 0:00,,TX_ASOS\
GKY,ARLINGTON (WAS F54),32.6639,-97.0943,192,12/1/98 0:00,,TX_ASOS\
GLE,GAINESVILLE,33.6514,-97.1969,256,7/10/01 0:00,,TX_ASOS\
GLS,GALVESTON/SCHOLES,29.2653,-94.8604,16,1/1/39 0:00,,TX_ASOS\
GNC,Seminole,32.6753,-102.6527,1010,5/1/04 0:00,,TX_ASOS\
GOP,GATESVILLE,31.4213,-97.797,276,10/22/04 0:00,,TX_ASOS\
GPM,GRAND_PRAIRIE,32.6988,-97.0469,180,1/30/85 0:00,,TX_ASOS\
GRK,FORT HOOD/GRAY AAF,31.07,-97.83,309,9/26/50 0:00,,TX_ASOS\
GTU,GEORGETOWN (AWOS),30.6808,-97.6767,240,4/9/92 0:00,,TX_ASOS\
GUL,Gunnison (GoM),27.3039,-93.5383,0,1/13/10 0:00,,TX_ASOS\
GVT,GREENVILLE/MAJORS,33.0678,-96.0653,163,9/11/42 0:00,,TX_ASOS\
GVW,Galveston 209B,29.1302,-94.5466,0,3/27/54 0:00,,TX_ASOS\
GVX,Galveston 424,28.5767,-94.9767,0,5/4/10 0:00,3/4/16 0:00,TX_ASOS\
GYB,GIDDINGS-LEE_CNTY_ARPT,30.17,-96.98,148,5/25/04 0:00,,TX_ASOS\
GYF,Alaminos Canyon Block 857,26.129,-94.898,65,12/27/19 0:00,,TX_ASOS\
GYI,SHERMAN/DENISON,33.7141,-96.6737,228,10/1/82 0:00,,TX_ASOS\
GZN,Cisco,32.3658,-99.0237,523.0639,3/7/16 0:00,,TX_ASOS\
HBV,HEBBRONVILLE,27.3496,-98.7369,202,7/16/04 0:00,,TX_ASOS\
HDO,HONDO MUNICIPAL,29.3594,-99.1742,283,9/15/42 0:00,,TX_ASOS\
HHF,CANADIAN,35.895,-100.404,730,7/7/81 0:00,,TX_ASOS\
HHV,Hoover Diana,26.9392,-94.6886,0,7/24/11 0:00,,TX_ASOS\
HLR,FT HOOD AAF/KILLEEN,31.1387,-97.7145,283,11/1/60 0:00,,TX_ASOS\
HOU,HOUSTON/WILL HOBBY,29.6375,-95.2824,14,2/1/29 0:00,,TX_ASOS\
HQI,High Island 376,27.962,-93.6708,0,5/4/10 0:00,8/3/20 0:00,TX_ASOS\
HQZ,MESQUITE,32.747,-96.5304,136,7/9/03 0:00,,TX_ASOS\
HRL,HARLINGEN INTL ARPT,26.2285,-97.6544,11,3/1/42 0:00,,TX_ASOS\
HRX,Hereford,34.8578,-102.3264,1153,1/17/07 0:00,,TX_ASOS\
HYI,SAN MARCOS (AWOS),29.8928,-97.863,182,2/20/43 0:00,,TX_ASOS\
IAH,Houston Intercontinental,29.9844,-95.3607,28,8/13/66 0:00,,TX_ASOS\
IKG,Kingsville,27.5509,-98.0309,39.11497,9/15/16 0:00,,TX_ASOS\
ILE,KILLEEN MUNI (AWOS),31.0858,-97.6865,258,5/15/46 0:00,,TX_ASOS\
INJ,HILLSBORO,32.0836,-97.0972,209,10/30/03 0:00,,TX_ASOS\
INK,WINK/WINKLER CO.,31.78,-103.2,859,1/13/32 0:00,,TX_ASOS\
JAS,JASPER COUNTY-BELL FIELD AIRPORT,30.8857,-94.0349,65,3/13/02 0:00,,TX_ASOS\
