OBJECTID,GID,CMPTRL_NBR,CNTY_NM,DIST_NM,DPS_NBR,CNTY_FIPS,CNTY_NBR,DIST_NBR,MSA1990,MSA2000,MSA2010,GRID_OP,CREATE_DT,CREATE_NM,EDIT_DT,EDIT_NM,Shape__Area,Shape__Length,ERCOT_Weather_Region
62,136,1,Anderson,Tyler,1,48001,1,10,N,N,N,,,,,,3878932799,438875.9659,East
63,137,71,El Paso,El Paso,71,48141,72,24,Y,Y,Y,,,,,,3646296133,292823.954,x
64,138,18,Bosque,Waco,18,48035,18,9,N,N,N,,,,,,3613122996,304758.5923,North Central
65,139,37,Cherokee,Tyler,37,48073,37,10,N,N,N,,,,,,3823144033,436207.0924,East
66,140,47,Comanche,Brownwood,47,48093,47,23,N,N,N,,,,,,3436998597,251107.4078,North Central
67,141,109,Hill,Waco,109,48217,110,9,N,N,N,,,,,,3560834152,306647.8738,North Central
68,142,213,Somervell,Fort Worth,213,48425,213,2,N,N,Y,,,,,,695392480.7,108518.0034,North Central
69,143,175,Navarro,Dallas,175,48349,175,18,N,N,N,,,,,,3926523491,294835.8456,North Central
70,144,107,Henderson,Tyler,107,48213,108,10,N,N,N,,,,,,3442720562,365708.4583,East
71,145,30,Callahan,Abilene,30,48059,30,8,Y,Y,Y,,,,,,3274602521,228878.7009,North Central
72,146,201,Rusk,Tyler,201,48401,201,10,Y,Y,Y,,,,,,3400469935,295930.722,East
73,147,67,Eastland,Brownwood,67,48133,68,23,N,N,N,,,,,,3383610249,236298.8454,North Central
74,148,221,Taylor,Abilene,221,48441,221,8,Y,Y,Y,,,,,,3342056462,231664.625,West
75,149,72,Erath,Fort Worth,72,48143,73,2,N,N,N,,,,,,3948234603,255925.987,North Central
76,150,177,Nolan,Abilene,177,48353,177,8,N,N,N,,,,,,3324261360,230526.5123,West
77,151,183,Panola,Atlanta,183,48365,183,19,N,N,N,,,,,,2975528269,248045.1263,x
78,152,168,Mitchell,Abilene,168,48335,168,8,N,N,N,,,,,,3333490495,231091.9488,West
79,153,114,Howard,Abilene,114,48227,115,8,N,N,N,,,,,,3287931083,229377.5605,Far West
80,154,156,Martin,Odessa,159,48317,156,6,N,N,Y,,,,,,3329487705,230737.7406,Far West
81,155,2,Andrews,Odessa,2,48003,2,6,N,N,N,,,,,,5458017744,304945.9728,Far West
82,156,111,Hood,Fort Worth,111,48221,112,2,N,N,Y,,,,,,1605200772,167017.8237,North Central
83,157,126,Johnson,Fort Worth,126,48251,127,2,Y,Y,Y,,,,,,2673476406,219056.7466,North Central
84,158,70,Ellis,Dallas,70,48139,71,18,Y,Y,Y,,,,,,3463841627,267194.2446,North Central
85,159,212,Smith,Tyler,212,48423,212,10,Y,Y,Y,,,,,,3458678795,354320.7402,East
86,160,92,Gregg,Tyler,92,48183,93,10,Y,Y,Y,,,,,,1002766017,161500.7453,x
87,161,129,Kaufman,Dallas,129,48257,130,18,Y,Y,Y,,,,,,2955643190,243269.6516,North Central
88,162,102,Harrison,Atlanta,102,48203,103,19,N,N,N,,,,,,3347804219,310125.0583,x
89,163,234,Van Zandt,Tyler,234,48467,234,10,N,N,N,,,,,,3143285714,290387.1277,East
